identifiant,nom_etablissement,numero_siret,adresse,code_postal,commune,departement,region,coordonnees_x,coordonnees_y,code_epsg,code_ape,libelle_ape,libelle_eprtr,prelevements_eaux_souterraines,prelevements_eaux_surface,prelevements_reseau_distribution,somme_prelevements_(m3),Somme_de_rejet_raccorde_m3_par_an,Somme_de_rejet_isole_m3_par_an,Somme_des_rejets_(m3)
5402208,SEPACOLOR,48255100900020,250 CHEMIN DE BEIRE,21110,GENLIS,COTE-D'OR,BOURGOGNE-FRANCHE-COMTE,5.239110,47.229310,27572,2561Z,Traitement et revêtement des métaux,"Installations destinées au traitement de surface de matières, d'objets ou de produits à  l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an",,,,,,  10 000 ,  10 000 
5401071,SOCIETE NOUVELLE DE DEPOTS CHIMIQUES ET ELECTROCHIMIQUES,31748162000019,ZONE INDUSTRIELLE,71240,SENNECEY-LE-GRAND,SAONE-ET-LOIRE,BOURGOGNE-FRANCHE-COMTE,4.864550,46.634840,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  9 631 ,  9 631 
6802396,MECAPROTEC INDUSTRIES - MPI,85103028800019,34 BOULEVARD DE JOFFRERY,31600,MURET,HAUTE-GARONNE,OCCITANIE,1.340910,43.487510,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  9 309 ,  9 309 
6803845,MECAPROTEC INDUSTRIES - MPI,85103028800035,17 RUE JEAN FRANCOIS ROMIEU 17-24,31600,MURET,HAUTE-GARONNE,OCCITANIE,1.339300,43.480100,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  9 309 ,  9 309 
6301336,COLORALU,41059339600014,ZONE INDUSTRIELLE ZONE INDUSTRIELLE,49122,LE MAY-SUR-EVRE,MAINE-ET-LOIRE,PAYS-DE-LA-LOIRE,-0.891020,47.143810,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,  863 ,  8 303 ,  9 166 
5501955,BRETAGNE-CHROME SA,86950068600017,ROUTE DE STE ANNE,56330,PLUVIGNER,MORBIHAN,BRETAGNE,-3.004450,47.771190,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,  8 704 ,,  8 704 
5202772,AERO PROTEC,48014637200010,6 RUE VINCENT AURIOL,64000,PAU,PYRENEES-ATLANTIQUES,NOUVELLE-AQUITAINE,-0.327800,43.314230,4326,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,  8 335 ,,  8 335 
6105089,MODERTECH INDUSTRIES,35017807500031,"15  15 alle Mathieu Murgue, Terrenoire",42100,SAINT-ETIENNE,LOIRE,AUVERGNE-RHONE-ALPES,4.432860,45.433830,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,  8 332 ,,  8 332 
6700644,JEDELE TRAITEMENTS DE SURFACE,50110232100012,6 RUE ALFRED JEDELE,68130,ALTKIRCH,HAUT-RHIN,GRAND-EST,7.232760,47.626200,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,,  7 292 ,  7 292 
10000651,ETABLISSEMENTS CHALUMEAU,32358978800013,3 RUE PIERRE MAITRE ZI DU SAULE MICHAUD,37270,MONTLOUIS-SUR-LOIRE,INDRE-ET-LOIRE,CENTRE,0.810820,47.390800,2154,2561Z,Traitement et revêtement des métaux,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,  7 830 ,,,  7 830 ,,  7 285 ,  7 285 
