identifiant,nom_etablissement,numero_siret,adresse,code_postal,commune,departement,region,coordonnees_x,coordonnees_y,code_epsg,code_ape,libelle_ape,libelle_eprtr,prelevements_eaux_souterraines,prelevements_eaux_surface,prelevements_reseau_distribution,somme_prelevements_(m3),Somme_de_rejet_raccorde_m3_par_an,Somme_de_rejet_isole_m3_par_an,Somme_des_rejets_(m3)
6515548,FM FRANCE,36780140400438,ROUTE DEPARTEMENTALE 619 LD LA JUSTICE,77720,MORMANT,SEINE-ET-MARNE,ILE-DE-FRANCE,2.885120,48.605680,2154,5210B,Entreposage et stockage non frigorifique,,,,,,,  881 ,  881 
6603723,FM FRANCE,36780140400347,1300 RUE KELLER,30290,LAUDUN,GARD,OCCITANIE,4.704220,44.084660,2154,5210B,Entreposage et stockage non frigorifique,,,,,,,  881 ,  881 
10001129,FM FRANCE,36780140400172,RUE DES GENETS P.A.ORLEANS SOLOGNE,45590,SAINT-CYR-EN-VAL,LOIRET,CENTRE,1.963060,47.818230,4326,5210B,Entreposage et stockage non frigorifique,,,,,,,  881 ,  881 
5515466,RENNES METROPOLE,51062429900010,Rue de la Croix Ignon,35310,MORDELLES,ILLE-ET-VILAINE,BRETAGNE,-1.831710,48.082690,4326,9604Z,Entretien corporel,,,,,,  6 345 ,  16 282 743 ,  16 289 088 
6606726,LANGUEDOC LAVAGES SARL,32649230300044,707 RUE BACCHUS ZI DE GREZAN,30000,NIMES,GARD,OCCITANIE,4.428980,43.838870,4326,4520B,Entretien et réparation d'autres véhicules automobiles,,,,,,  25 031 ,,  25 031 
6506244,REGIE AUTONOME DES TRANSPORTS PARISIENS,90825354500028,34 RUE CHAMPIONNET,75018,PARIS-18E-ARRONDISSEMENT,PARIS,ILE-DE-FRANCE,2.349520,48.895540,2154,4520B,Entretien et réparation d'autres véhicules automobiles,Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à  30 m3,,,,,  3 050 ,,  3 050 
18200019,Q.R.O.,39435783400024,COMPLEXE ROUTIER CROIX SUD CENTRE INTERN. ROUTIER,11100,NARBONNE,AUDE,OCCITANIE,3.012340,43.182150,2154,4520A,Entretien et réparation de véhicules automobiles légers,,,,,,  9 908 ,,  9 908 
7000110,COMPTOIR DES CALCAIRES ET MATERIAUX,68682004400051,4 CHEMIN DU MOULIN,59132,WALLERS-TRELON,NORD,HAUTS-DE-FRANCE,4.176350,50.055550,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,  5 109 070 ,,,  5 109 070 ,,  5 109 070 ,  5 109 070 
7000045,ETABLISSEMENTS BOCAHUT,44542038300017,HAMEAU DE GODIN,59440,HAUT-LIEU,NORD,HAUTS-DE-FRANCE,3.904060,50.117100,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",Extraction à  ciel ouvert et exploitation en carrière lorsque la surperficie du site oà¹ sont effectuées des opérations d'extraction est égale à  25 hectares,  3 012 591 ,,,  3 012 591 ,,  4 677 497 ,  4 677 497 
7000648,ETABLISSEMENTS BOCAHUT,44542038300017,HAMEAU DE GODIN,59440,HAUT-LIEU,NORD,HAUTS-DE-FRANCE,3.910580,50.114940,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",de clinker (ciment) ou de chaux dans d'autres types de fours d'une capacité de production de 50 tonnes par jour,,,,,,  4 677 497 ,  4 677 497 
6519888,IMERYS LOUAN BARONNIE,49009659100246,Le chatelet,77560,LOUAN-VILLEGRUIS-FONTAINE,SEINE-ET-MARNE,ILE-DE-FRANCE,3.522290,48.639150,2154,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",,  3 635 190 ,  284 400 ,,  3 919 590 ,,  3 919 590 ,  3 919 590 
